final_category,natural_question_count,tool_interaction_count,no_answer_count,error_count,good_feedback_count,bad_feedback_count,no_answer_rate
(カテゴリなし),77,0,0,0,0,0,0.000
システム操作,31,27,7,0,0,0,0.226
システム操作 > Staffia,33,31,5,0,0,0,0.152
システム操作 > follow,8,7,2,0,0,0,0.250
システム操作 > タレマネ,6,6,2,0,0,0,0.333
システム操作 > ビズバンス,17,15,11,0,0,2,0.647
タレマネ > 上長用,4,4,2,0,0,0,0.500
タレマネ > 社員用,29,23,7,0,0,0,0.241
制度・運用,87,65,19,0,0,0,0.218
制度・運用 > 旅費,33,27,9,1,0,0,0.273
制度・運用 > 服務,23,22,1,1,0,0,0.043
制度・運用 > 福利厚生,6,3,4,0,0,0,0.667
制度・運用 > 通勤費,3,3,1,0,0,0,0.333
旅費 > その他,7,6,3,0,0,0,0.429
旅費 > 国内,6,6,0,0,0,0,0.000
旅費 > 帰郷実費,1,1,0,0,0,0,0.000
旅費 > 海外,6,5,1,0,0,0,0.167
旅費 > 赴任,6,5,1,0,0,0,0.167
服務 > その他,5,4,4,0,0,0,0.800
服務 > キャリアスタッフ,2,2,2,0,0,0,1.000
服務 > 社員,52,45,8,0,1,1,0.154
服務 > 表彰・懲戒,3,1,1,0,0,0,0.333
未分類,17,16,3,0,0,0,0.176
福利厚生 > その他,8,7,5,0,0,0,0.625
福利厚生 > カフェテリア,3,2,1,1,0,0,0.333
福利厚生 > 住宅・社宅,10,7,0,0,0,0,0.000
福利厚生 > 健康管理関連,2,1,1,0,0,0,0.500
福利厚生 > 持株会/NTTグループ共済年金等,1,1,1,0,0,0,1.000
福利厚生 > 確定拠出年金,5,4,0,0,0,0,0.000
福利厚生 > 財形,3,2,1,0,0,0,0.333
通勤費 > その他,4,3,1,0,0,0,0.250
通勤費 > 支給基準,5,5,2,0,0,0,0.400
通勤費 > 通勤の定義,1,1,1,0,0,0,1.000
