interaction_date_jst,interaction_count,natural_question_count,reset_request_count,tool_interaction_count,no_answer_count,error_count,feedback_count,no_answer_rate,avg_latency_seconds
2026-05-19,23,18,1,14,7,0,1,0.389,4.071
2026-05-20,44,28,0,22,2,1,0,0.071,4.134
2026-05-21,31,19,1,15,3,0,0,0.158,3.625
2026-05-22,50,28,2,18,8,0,0,0.286,2.378
2026-05-25,51,34,0,27,13,0,0,0.382,3.888
2026-05-26,37,33,0,22,7,0,0,0.212,4.882
2026-05-27,132,81,7,51,9,0,2,0.111,3.417
2026-05-28,134,81,2,51,8,1,0,0.099,3.425
2026-05-29,72,45,0,36,11,0,1,0.244,3.789
2026-05-31,1,1,0,1,0,0,0,0.000,6.920
2026-06-01,49,35,1,24,6,1,0,0.171,4.181
2026-06-02,50,32,3,24,11,0,0,0.344,3.451
2026-06-03,48,30,0,24,8,0,0,0.267,3.818
2026-06-04,48,31,1,21,12,0,1,0.387,6.419
2026-06-05,8,8,0,7,1,0,0,0.125,6.771
